date,total_confirmed_cases,total_deaths
2020-01-22,0,0
2020-01-23,0,0
2020-01-24,0,0
2020-01-25,0,0
2020-01-26,0,0
2020-01-27,0,0
2020-01-28,0,0
2020-01-29,0,0
2020-01-30,0,0
2020-01-31,0,0
2020-02-01,0,0
2020-02-02,0,0
2020-02-03,0,0
2020-02-04,0,0
2020-02-05,0,0
2020-02-06,0,0
2020-02-07,0,0
2020-02-08,0,0
2020-02-09,0,0
2020-02-10,0,0
2020-02-11,0,0
2020-02-12,0,0
2020-02-13,0,0
2020-02-14,0,0
2020-02-15,0,0
2020-02-16,0,0
2020-02-17,0,0
2020-02-18,0,0
2020-02-19,0,0
2020-02-20,0,0
2020-02-21,0,0
2020-02-22,0,0
2020-02-23,0,0
2020-02-24,0,0
2020-02-25,0,0
2020-02-26,0,0
2020-02-27,0,0
2020-02-28,1,0
2020-02-29,1,0
2020-03-01,1,0
2020-03-02,1,0
2020-03-03,1,0
2020-03-04,3,0
2020-03-05,3,0
2020-03-06,4,0
2020-03-07,5,0
2020-03-08,5,0
2020-03-09,5,0
2020-03-10,5,0
2020-03-11,5,0
2020-03-12,5,0
2020-03-13,5,0
2020-03-14,6,0
2020-03-15,8,0
2020-03-16,8,0
2020-03-17,12,0
2020-03-18,20,0
2020-03-19,28,0
2020-03-20,39,0
2020-03-21,52,0
2020-03-22,102,0
2020-03-23,102,0
2020-03-24,155,0
2020-03-25,205,0
2020-03-26,283,0
2020-03-27,368,0
2020-03-28,451,0
2020-03-29,514,1
2020-03-30,589,1
2020-03-31,647,1
2020-04-01,708,1
2020-04-02,797,1
2020-04-03,868,1
2020-04-04,950,1
2020-04-05,1039,4
2020-04-06,1106,4
2020-04-07,1160,4
2020-04-08,1210,4
2020-04-09,1239,4
2020-04-10,1283,4
2020-04-11,1312,4
2020-04-12,1330,12
2020-04-13,1349,12
2020-04-14,1366,12
2020-04-15,1386,12
2020-04-16,1401,12
2020-04-17,1409,12
2020-04-18,1422,12
2020-04-19,1431,18
2020-04-20,1440,18
2020-04-21,1445,18
2020-04-22,1451,18
2020-04-23,1456,18
2020-04-24,1461,18
2020-04-25,1470,18
2020-04-26,1469,20
2020-04-27,1472,20
2020-04-28,1474,20
2020-04-29,1476,20
2020-04-30,1479,20
2020-05-01,1485,20
2020-05-02,1487,20
2020-05-03,1487,21
2020-05-04,1486,21
2020-05-05,1488,21
2020-05-06,1489,21
2020-05-07,1490,21
2020-05-08,1492,21
2020-05-09,1494,21
2020-05-10,1497,22
2020-05-11,1497,22
2020-05-12,1497,22
2020-05-13,1497,22
2020-05-14,1498,22
2020-05-15,1498,22
2020-05-16,1499,22
2020-05-17,1499,22
2020-05-18,1499,22
2020-05-19,1503,22
2020-05-20,1503,22
2020-05-21,1504,22
2020-05-22,1504,22
2020-05-23,1504,22
2020-05-24,1504,23
2020-05-25,1504,23
2020-05-26,1504,23
2020-05-27,1504,23
2020-05-28,1504,23
2020-05-29,1504,23
2020-05-30,1504,23
2020-05-31,1504,23
2020-06-01,1504,23
2020-06-02,1504,23
2020-06-03,1504,23
2020-06-04,1504,23
2020-06-05,1504,23
2020-06-06,1504,23
2020-06-07,1504,23
2020-06-08,1504,23
2020-06-09,1504,23
2020-06-10,1504,23
2020-06-11,1504,23
2020-06-12,1504,23
2020-06-13,1504,23
2020-06-14,1504,23
2020-06-15,1506,23
2020-06-16,1506,23
2020-06-17,1507,23
2020-06-18,1507,23
2020-06-19,1509,23
2020-06-20,1511,23
2020-06-21,1513,23
2020-06-22,1515,23
2020-06-23,1516,23
2020-06-24,1519,23
2020-06-25,1520,23
2020-06-26,1522,23
2020-06-27,1526,23
2020-06-28,1528,23
2020-06-29,1528,23
2020-06-30,1528,23
2020-07-01,1530,23
2020-07-02,1530,23
2020-07-03,1530,23
2020-07-04,1533,23
2020-07-05,1534,23
2020-07-06,1536,23
2020-07-07,1537,23
2020-07-08,1540,23
2020-07-09,1542,23
2020-07-10,1543,23
2020-07-11,1544,23
2020-07-12,1544,23
2020-07-13,1545,23
2020-07-14,1547,23
2020-07-15,1548,23
2020-07-16,1549,23
2020-07-17,1550,23
2020-07-18,1553,23
2020-07-19,1554,23
2020-07-20,1555,23
2020-07-21,1555,23
2020-07-22,1555,23
2020-07-23,1556,23
2020-07-24,1556,23
2020-07-25,1556,23
2020-07-26,1556,23
2020-07-27,1557,23
2020-07-28,1559,23
2020-07-29,1560,23
2020-07-30,1560,23
2020-07-31,1562,23
2020-08-01,1565,23
2020-08-02,1567,23
2020-08-03,1567,23
2020-08-04,1569,23
2020-08-05,1569,23
2020-08-06,1569,23
2020-08-07,1569,23
2020-08-08,1569,23
2020-08-09,1569,23
2020-08-10,1570,23
2020-08-11,1570,23
2020-08-12,1589,23
2020-08-13,1602,23
2020-08-14,1609,23
2020-08-15,1622,23
2020-08-16,1631,23
2020-08-17,1643,23
2020-08-18,1649,23
2020-08-19,1654,23
2020-08-20,1665,23
2020-08-21,1671,23
2020-08-22,1674,23
2020-08-23,1683,23
2020-08-24,1690,23
2020-08-25,1695,23
2020-08-26,1702,23
2020-08-27,1714,23
2020-08-28,1727,23
2020-08-29,1729,23
2020-08-30,1738,25
2020-08-31,1752,25
2020-09-01,1757,25
2020-09-02,1759,25
2020-09-03,1764,25
2020-09-04,1767,25
2020-09-05,1772,25
2020-09-06,1776,25
2020-09-07,1782,25
2020-09-08,1788,25
2020-09-09,1792,25
2020-09-10,1793,25
2020-09-11,1795,25
2020-09-12,1797,25
2020-09-13,1798,26
2020-09-14,1801,26
2020-09-15,1802,26
2020-09-16,1809,26
2020-09-17,1809,26
2020-09-18,1811,26
2020-09-19,1815,26
2020-09-20,1815,26
2020-09-21,1815,26
2020-09-22,1824,26
2020-09-23,1827,26
2020-09-24,1829,26
2020-09-25,1831,26
2020-09-26,1833,26
2020-09-27,1833,26
2020-09-28,1835,26
2020-09-29,1836,26
2020-09-30,1848,26
2020-10-01,1848,26
2020-10-02,1849,26
2020-10-03,1854,26
2020-10-04,1855,26
2020-10-05,1858,26
2020-10-06,1861,26
2020-10-07,1864,26
2020-10-08,1866,26
2020-10-09,1870,26
2020-10-10,1871,26
2020-10-11,1871,26
2020-10-12,1872,26
2020-10-13,1874,26
2020-10-14,1876,26
2020-10-15,1880,26
2020-10-16,1883,26
2020-10-17,1886,26
2020-10-18,1886,26
2020-10-19,1887,26
2020-10-20,1912,26
2020-10-21,1914,26
2020-10-22,1923,26
2020-10-23,1934,26
2020-10-24,1935,26
2020-10-25,1940,26
2020-10-26,1941,26
2020-10-27,1943,26
2020-10-28,1949,26
2020-10-29,1950,26
2020-10-30,1957,26
2020-10-31,1959,26
2020-11-01,1963,26
2020-11-02,1968,26
2020-11-03,1971,26
2020-11-04,1973,26
2020-11-05,1974,26
2020-11-06,1976,26
2020-11-07,1982,26
2020-11-08,1986,26
2020-11-09,1987,26
2020-11-10,1988,26
2020-11-11,1991,26
2020-11-12,1995,26
2020-11-13,1998,26
2020-11-14,2001,26
2020-11-15,2001,26
2020-11-16,2005,26
2020-11-17,2008,26
2020-11-18,2010,26
2020-11-19,2013,26
2020-11-20,2019,26
2020-11-21,2028,26
2020-11-22,2030,26
2020-11-23,2031,26
2020-11-24,2039,26
2020-11-25,2040,26
2020-11-26,2047,26
2020-11-27,2050,26
2020-11-28,2050,26
2020-11-29,2056,26
2020-11-30,2059,26
2020-12-01,2060,26
2020-12-02,2069,26
2020-12-03,2069,26
2020-12-04,2078,26
2020-12-05,2078,26
2020-12-06,2079,26
2020-12-07,2085,26
2020-12-08,2088,26
2020-12-09,2088,26
2020-12-10,2092,26
2020-12-11,2092,26
2020-12-12,2096,26
2020-12-13,2096,26
2020-12-14,2096,26
2020-12-15,2100,26
2020-12-16,2100,26
2020-12-17,2110,26
2020-12-18,2110,26
2020-12-19,2116,26
2020-12-20,2121,26
2020-12-21,2121,26
2020-12-22,2128,26
2020-12-23,2128,26
2020-12-24,2128,26
2020-12-25,2128,26
2020-12-26,2144,26
2020-12-27,2144,26
2020-12-28,2151,26
2020-12-29,2151,26
2020-12-30,2162,26
2020-12-31,2162,26
2021-01-01,2162,26
2021-01-02,2181,26
2021-01-03,2181,26
2021-01-04,2186,26
2021-01-05,2186,26
2021-01-06,2188,26
2021-01-07,2188,26
2021-01-08,2188,26
2021-01-09,2219,26
2021-01-10,2222,27
2021-01-11,2222,27
2021-01-12,2228,27
2021-01-13,2228,27
2021-01-14,2246,27
2021-01-15,2246,27
2021-01-16,2256,27
2021-01-17,2262,27
2021-01-18,2262,27
2021-01-19,2267,27
2021-01-20,2267,27
2021-01-21,2276,27
2021-01-22,2276,27
2021-01-23,2283,27
2021-01-24,2288,27
2021-01-25,2290,27
2021-01-26,2295,27
2021-01-27,2299,27
2021-01-28,2305,27
2021-01-29,2303,27
2021-01-30,2304,27
2021-01-31,2304,27
2021-02-01,2307,27
2021-02-02,2308,27
2021-02-03,2313,27
2021-02-04,2315,27
2021-02-05,2315,27
2021-02-06,2320,27
2021-02-07,2320,28
2021-02-08,2322,28
2021-02-09,2324,28
2021-02-10,2324,28
2021-02-11,2326,28
2021-02-12,2328,28
2021-02-13,2330,28
2021-02-14,2336,28
2021-02-15,2337,28
2021-02-16,2340,28
2021-02-17,2344,28
2021-02-18,2348,28
2021-02-19,2350,28
2021-02-20,2350,28
2021-02-21,2357,28
2021-02-22,2363,28
2021-02-23,2365,28
2021-02-24,2368,28
2021-02-25,2371,28
2021-02-26,2372,28
2021-02-27,2376,28
2021-02-28,2378,28
2021-03-01,2382,28
2021-03-02,2384,28
2021-03-03,2389,28
2021-03-04,2389,28
2021-03-05,2398,28
2021-03-06,2399,28
2021-03-07,2405,28
2021-03-08,2409,28
2021-03-09,2410,28
2021-03-10,2416,28
2021-03-11,2417,28
2021-03-12,2422,28
2021-03-13,2423,28
2021-03-14,2430,28
2021-03-15,2432,28
2021-03-16,2434,28
2021-03-17,2434,28
2021-03-18,2444,28
2021-03-19,2444,28
2021-03-20,2453,28
2021-03-21,2462,28
2021-03-22,2462,28
2021-03-23,2470,28
2021-03-24,2476,28
2021-03-25,2479,28
2021-03-26,2481,28
2021-03-27,2482,28
2021-03-28,2493,28
2021-03-29,2495,28
2021-03-30,2497,28
2021-03-31,2501,28
2021-04-01,2501,28
2021-04-02,2501,28
2021-04-03,2501,28
2021-04-04,2507,28
2021-04-05,2524,28
2021-04-06,2531,28
2021-04-07,2555,28
2021-04-08,2561,28
2021-04-09,2571,28
2021-04-10,2574,28
2021-04-11,2583,28
2021-04-12,2587,28
2021-04-13,2589,28
2021-04-14,2591,28
2021-04-15,2591,28
2021-04-16,2591,28
2021-04-17,2595,28
2021-04-18,2596,28
2021-04-19,2597,28
2021-04-20,2599,28
2021-04-21,2600,28
2021-04-22,2600,28
2021-04-23,2600,28
2021-04-24,2601,28
2021-04-25,2601,28
2021-04-26,2609,28
2021-04-27,2609,28
2021-04-28,2613,28
2021-04-29,2613,28
2021-04-30,2613,28
2021-05-01,2618,28
2021-05-02,2622,28
2021-05-03,2623,28
2021-05-04,2629,28
2021-05-05,2633,28
2021-05-06,2634,28
2021-05-07,2634,28
2021-05-08,2642,28
2021-05-09,2644,28
2021-05-10,2644,28
2021-05-11,2643,28
2021-05-12,2644,28
2021-05-13,2645,28
2021-05-14,2645,28
2021-05-15,2646,28
2021-05-16,2651,28
2021-05-17,2653,28
2021-05-18,2658,28
2021-05-19,2659,28
2021-05-20,2662,28
2021-05-21,2662,28
2021-05-22,2668,28
2021-05-23,2668,28
2021-05-24,2669,28
2021-05-25,2669,28
2021-05-26,2670,28
2021-05-27,2670,28
2021-05-28,2670,28
2021-05-29,2672,28
2021-05-30,2673,28
2021-05-31,2673,28
2021-06-01,2679,28
2021-06-02,2681,28
2021-06-03,2682,28
2021-06-04,2682,28
2021-06-05,2682,28
2021-06-06,2682,28
2021-06-07,2692,28
2021-06-08,2696,28
2021-06-09,2697,28
2021-06-10,2702,28
2021-06-11,2702,28
2021-06-12,2708,28
2021-06-13,2709,28
2021-06-14,2709,28
2021-06-15,2711,28
2021-06-16,2713,28
2021-06-17,2714,28
2021-06-18,2714,28
2021-06-19,2718,28
2021-06-20,2720,28
2021-06-21,2720,28
2021-06-22,2723,28
2021-06-23,2723,28
2021-06-24,2725,28
2021-06-25,2729,28
2021-06-26,2729,28
2021-06-27,2738,28
2021-06-28,2741,28
2021-06-29,2742,28
2021-06-30,2742,28
2021-07-01,2742,28
2021-07-02,2742,28
2021-07-03,2751,28
2021-07-04,2758,28
2021-07-05,2758,28
2021-07-06,2763,28
2021-07-07,2764,28
2021-07-08,2765,28
2021-07-09,2765,28
2021-07-10,2767,28
2021-07-11,2768,28
2021-07-12,2786,28
2021-07-13,2790,28
2021-07-14,2794,28
2021-07-15,2803,28
2021-07-16,2803,28
2021-07-17,2814,28
2021-07-18,2817,28
2021-07-19,2822,28
2021-07-20,2828,28
2021-07-21,2835,28
2021-07-22,2855,28
2021-07-23,2855,28
2021-07-24,2862,28
2021-07-25,2863,28
2021-07-26,2863,28
2021-07-27,2864,28
2021-07-28,2867,28
2021-07-29,2870,28
2021-07-30,2870,28
2021-07-31,2873,28
2021-08-01,2877,28
2021-08-02,2877,28
2021-08-03,2879,28
2021-08-04,2880,28
2021-08-05,2880,28
2021-08-06,2880,28
2021-08-07,2886,28
2021-08-08,2890,28
2021-08-09,2902,28
2021-08-10,2904,28
2021-08-11,2913,28
2021-08-12,2914,28
2021-08-13,2914,28
2021-08-14,2919,28
2021-08-15,2926,28
2021-08-16,2926,28
2021-08-17,2936,28
2021-08-18,2936,28
2021-08-19,2968,28
2021-08-20,2992,28
2021-08-21,3016,28
2021-08-22,3054,28
2021-08-23,3096,28
2021-08-24,3159,28
2021-08-25,3227,28
2021-08-26,3297,28
2021-08-27,3380,28
2021-08-28,3464,28
2021-08-29,3519,29
2021-08-30,3519,29
2021-08-31,3569,29
2021-09-01,3645,29
2021-09-02,3729,29
2021-09-03,3748,29
2021-09-04,3768,29
2021-09-05,3792,29
2021-09-06,3813,29
2021-09-07,3829,29
2021-09-08,3847,29
2021-09-09,3866,29
2021-09-10,3890,29
2021-09-11,3913,29
2021-09-12,3949,29
2021-09-13,3966,29
2021-09-14,3981,29
2021-09-15,3999,29
2021-09-16,4014,29
2021-09-17,4038,29
2021-09-18,4060,29
2021-09-19,4082,29
2021-09-20,4095,29
2021-09-21,4119,29
2021-09-22,4135,29
2021-09-23,4144,29
2021-09-24,4162,29
2021-09-25,4183,29
2021-09-26,4194,29
2021-09-27,4204,29
2021-09-28,4248,29
2021-09-29,4273,29
2021-09-30,4291,29
2021-10-01,4319,29
2021-10-02,4352,29
2021-10-03,4382,30
2021-10-04,4408,30
2021-10-05,4450,30
2021-10-06,4480,30
2021-10-07,4527,30
2021-10-08,4563,30
2021-10-09,4624,30
2021-10-10,4659,30
2021-10-11,4704,30
2021-10-12,4759,30
2021-10-13,4831,30
2021-10-14,4897,30
2021-10-15,4939,30
2021-10-16,4991,30
2021-10-17,5055,30
2021-10-18,5153,30
2021-10-19,5213,30
2021-10-20,5315,30
2021-10-21,5449,30
2021-10-22,5554,30
2021-10-23,5638,30
2021-10-24,5749,30
2021-10-25,5822,30
2021-10-26,5899,30
2021-10-27,5995,30
2021-10-28,6124,30
2021-10-29,6285,30
2021-10-30,6428,30
2021-10-31,6594,31
2021-11-01,6723,31
2021-11-02,6832,31
2021-11-03,6972,31
2021-11-04,7138,31
2021-11-05,7342,31
2021-11-06,7456,31
2021-11-07,7648,31
2021-11-08,7775,31
2021-11-09,7922,31
2021-11-10,8107,31
2021-11-11,8306,31
2021-11-12,8482,31
2021-11-13,8692,31
2021-11-14,8866,36
2021-11-15,9088,36
2021-11-16,9285,36
2021-11-17,9452,36
2021-11-18,9652,36
2021-11-19,9823,36
2021-11-20,9972,36
2021-11-21,10176,41
2021-11-22,10393,41
2021-11-23,10609,41
2021-11-24,10789,41
2021-11-25,10966,41
2021-11-26,11114,41
2021-11-27,11260,41
2021-11-28,11444,41
2021-11-29,11576,41
2021-11-30,11723,41
2021-12-01,11895,41
2021-12-02,11992,41
2021-12-03,12087,41
2021-12-04,12195,41
2021-12-05,12331,42
2021-12-06,12428,42
2021-12-07,12516,42
2021-12-08,12621,42
2021-12-09,12621,42
2021-12-10,12781,42
2021-12-11,12884,42
2021-12-12,12986,43
2021-12-13,13067,43
2021-12-14,13143,43
2021-12-15,13238,43
2021-12-16,13317,43
2021-12-17,13366,43
2021-12-18,13425,43
2021-12-19,13495,44
2021-12-20,13531,44
2021-12-21,13589,44
2021-12-22,13648,44
2021-12-23,13719,44
2021-12-24,13719,44
2021-12-25,13855,44
2021-12-26,13899,48
2021-12-27,13932,48
2021-12-28,13986,48
2021-12-29,14057,48
2021-12-30,14118,48
2021-12-31,14118,48
2022-01-01,14255,48
2022-01-02,14306,49
2022-01-03,14365,49
2022-01-04,14405,49
2022-01-05,14467,49
2022-01-06,14525,49
2022-01-07,14525,49
2022-01-08,14673,49
2022-01-09,14733,51
2022-01-10,14756,51
2022-01-11,14848,51
2022-01-12,14887,51
2022-01-13,14947,51
2022-01-14,15001,51
2022-01-15,15069,51
2022-01-16,15127,51
2022-01-17,15170,51
2022-01-18,15249,51
2022-01-19,15334,51
2022-01-20,15401,51
2022-01-21,15479,51
2022-01-22,15550,51
2022-01-23,15625,52
2022-01-24,15687,52
2022-01-25,15745,52
2022-01-26,15842,52
2022-01-27,15991,52
2022-01-28,16146,52
2022-01-29,16286,52
2022-01-30,16416,52
2022-01-31,16620,52
2022-02-01,16817,52
2022-02-02,17005,52
2022-02-03,17277,52
2022-02-04,17546,52
2022-02-05,17773,52
2022-02-06,17988,52
2022-02-07,18253,52
2022-02-08,18503,52
2022-02-09,18837,52
2022-02-10,19313,52
2022-02-11,19777,52
2022-02-12,19777,52
2022-02-13,21573,53
2022-02-14,22328,53
2022-02-15,23509,53
2022-02-16,25050,53
2022-02-17,26935,53
2022-02-18,28751,53
2022-02-19,31087,53
2022-02-20,33317,64
2022-02-21,36162,64
2022-02-22,39345,64
2022-02-23,45473,64
2022-02-24,57497,64
2022-02-25,71122,64
2022-02-26,71122,64
2022-02-27,86138,84
2022-02-28,118812,84
2022-03-01,142918,84
2022-03-02,166098,84
2022-03-03,188680,84
2022-03-04,207562,84
2022-03-05,222767,84
2022-03-06,240319,118
2022-03-07,264255,118
2022-03-08,286750,118
2022-03-09,286750,118
2022-03-10,307803,118
2022-03-11,347576,118
2022-03-12,362109,118
2022-03-13,377685,180
2022-03-14,399342,180
2022-03-15,399342,180
2022-03-16,438477,180
2022-03-17,452670,180
2022-03-18,471225,180
2022-03-19,483222,180
2022-03-20,497731,273
2022-03-21,518685,273
2022-03-22,538839,273
2022-03-23,557330,273
2022-03-24,573244,273
2022-03-25,587467,273
2022-03-26,597745,273
2022-03-27,610687,365
2022-03-28,627898,365
2022-03-29,643875,365
2022-03-30,659175,365
2022-03-31,672712,365
2022-04-01,684374,365
2022-04-02,693219,365
2022-04-03,703467,434
2022-04-04,717650,434
2022-04-05,730285,434
2022-04-06,741987,434
2022-04-07,741987,434
2022-04-08,760540,434
2022-04-09,767295,434
2022-04-10,774928,516
2022-04-11,786058,516
2022-04-12,795606,516
2022-04-13,805240,533
2022-04-14,813070,516
2022-04-15,818882,516
2022-04-16,824867,516
2022-04-17,831149,585
2022-04-18,831149,585
2022-04-19,850747,585
2022-04-20,861118,585
2022-04-21,870591,585
2022-04-22,878575,585
2022-04-23,884289,585
2022-04-24,890039,636
2022-04-25,896495,636
2022-04-26,906397,636
2022-04-27,915522,636
2022-04-28,923847,636
2022-04-29,930969,636
2022-04-30,936697,636
2022-05-01,943428,697
2022-05-02,952697,697
2022-05-03,961262,697
2022-05-04,969959,697
2022-05-05,977380,697
2022-05-06,984218,697
2022-05-07,989946,697
2022-05-08,996417,750
2022-05-09,1005674,750
2022-05-10,1013721,750
2022-05-11,1023205,750
2022-05-12,1030733,750
2022-05-13,1037855,750
2022-05-14,1043683,750
2022-05-15,1050797,797
2022-05-16,1060710,797
2022-05-17,1070373,797
2022-05-18,1079557,797
2022-05-19,1087466,797
2022-05-20,1094192,797
2022-05-21,1099250,797
2022-05-22,1105317,805
2022-05-23,1113828,845
2022-05-24,1122075,845
2022-05-25,1129749,845
2022-05-26,1136708,845
2022-05-27,1143146,845
2022-05-28,1148045,845
2022-05-29,1153946,890
2022-05-30,1162499,890
2022-05-31,1170815,890
2022-06-01,1178816,890
2022-06-02,1185151,890
2022-06-03,1191560,890
2022-06-04,1196033,890
2022-06-05,1196033,943
2022-06-06,1206411,943
2022-06-07,1213546,943
2022-06-08,1221724,943
2022-06-09,1228187,943
2022-06-10,1233450,943
2022-06-11,1237979,943
2022-06-12,1242497,993
2022-06-13,1248852,993
2022-06-14,1254560,993
2022-06-15,1260441,993
2022-06-16,1265455,993
2022-06-17,1270039,993
2022-06-18,1273389,993
2022-06-19,1277568,1046
2022-06-20,1283444,1046
2022-06-21,1289128,1046
2022-06-22,1294657,1046
2022-06-23,1294657,1046
2022-06-24,1303779,1046
2022-06-25,1308387,1046
2022-06-26,1314145,1106
2022-06-27,1322476,1106
2022-06-28,1330538,1106
2022-06-29,1338501,1106
2022-06-30,1345796,1106
2022-07-01,1352688,1106
2022-07-02,1357862,1106
2022-07-03,1364733,1180
2022-07-04,1374535,1180
2022-07-05,1374535,1180
2022-07-06,1403073,1180
2022-07-07,1412642,1180
2022-07-08,1422178,1180
2022-07-09,1429924,1180
2022-07-10,1438599,1304
2022-07-11,1450451,1304
2022-07-12,1462257,1304
2022-07-13,1473955,1304
2022-07-14,1484746,1304
2022-07-15,1494272,1304
2022-07-16,1500754,1304
2022-07-17,1508728,1410
2022-07-18,1519490,1410
2022-07-19,1530186,1410
2022-07-20,1540509,1410
2022-07-21,1549589,1410
2022-07-22,1557661,1410
2022-07-23,1563510,1410
2022-07-24,1570802,1455
2022-07-25,1570802,1455
2022-07-26,1570802,1455
2022-07-27,1570802,1455
2022-07-28,1605416,1479
2022-07-29,1611885,1502
2022-07-30,1616341,1502
2022-07-31,1621916,1502
2022-08-01,1629298,1563
2022-08-02,1635992,1589
2022-08-03,1642334,1603
2022-08-04,1647826,1624
2022-08-05,1652711,1638
2022-08-06,1656229,1638
2022-08-07,1660402,1638
2022-08-08,1666539,1688
2022-08-09,1671922,1705
2022-08-10,1676938,1726
2022-08-11,1681209,1733
2022-08-12,1684946,1750
2022-08-13,1687705,1750
2022-08-14,1691261,1750
2022-08-15,1696239,1782
2022-08-16,1700900,1794
2022-08-17,1705597,1807
2022-08-18,1709541,1815
2022-08-19,1712957,1824