date,age_group,total_cases,total_cases_hospitalised
2021-08-24,0 to 9,14,
2021-08-24,10 to 19,32,
2021-08-24,20 to 29,47,
2021-08-24,30 to 39,10,
2021-08-24,40 to 49,13,
2021-08-24,50 to 59,19,
2021-08-24,60 to 69,9,
2021-08-24,70+,4,
2021-08-25,0 to 9,22,
2021-08-25,10 to 19,44,
2021-08-25,20 to 29,66,
2021-08-25,30 to 39,18,
2021-08-25,40 to 49,20,
2021-08-25,50 to 59,24,
2021-08-25,60 to 69,9,
2021-08-25,70+,7,
2021-08-26,0 to 9,32,
2021-08-26,10 to 19,59,
2021-08-26,20 to 29,81,
2021-08-26,30 to 39,21,
2021-08-26,40 to 49,29,
2021-08-26,50 to 59,36,
2021-08-26,60 to 69,11,
2021-08-26,70+,8,
2021-08-28,0,46,
2021-08-28,1,91,
2021-08-28,2,114,
2021-08-28,3,38,
2021-08-28,4,50,
2021-08-28,5,58,
2021-08-28,6,19,
2021-08-28,7,13,
2021-08-29,0 to 9,59,
2021-08-29,10 to 19,113,
2021-08-29,20 to 29,138,
2021-08-29,30 to 39,44,
2021-08-29,40 to 49,57,
2021-08-29,50 to 59,62,
2021-08-29,60 to 69,20,
2021-08-29,70+,16,
2021-08-30,0 to 9,72,
2021-08-30,10 to 19,128,
2021-08-30,20 to 29,148,
2021-08-30,30 to 39,49,
2021-08-30,40 to 49,60,
2021-08-30,50 to 59,68,
2021-08-30,60 to 69,22,
2021-08-30,70+,17,
2021-08-30,Unknown,0,
2021-08-31,0 to 9,75,
2021-08-31,10 to 19,151,
2021-08-31,20 to 29,157,
2021-08-31,30 to 39,52,
2021-08-31,40 to 49,64,
2021-08-31,50 to 59,73,
2021-08-31,60 to 69,23,
2021-08-31,70+,17,
2021-08-31,Unknown,0,
2021-09-01,0 to 9,87,
2021-09-01,10 to 19,170,
2021-09-01,20 to 29,180,
2021-09-01,30 to 39,57,
2021-09-01,40 to 49,68,
2021-09-01,50 to 59,83,
2021-09-01,60 to 69,23,
2021-09-01,70+,19,
2021-09-01,Unknown,0,
2021-09-02,0 to 9,95,
2021-09-02,10 to 19,178,
2021-09-02,20 to 29,197,
2021-09-02,30 to 39,62,
2021-09-02,40 to 49,74,
2021-09-02,50 to 59,87,
2021-09-02,60 to 69,24,
2021-09-02,70+,19,
2021-09-02,Unknown,0,
2021-09-03,0 to 9,101,
2021-09-03,10 to 19,184,
2021-09-03,20 to 29,202,
2021-09-03,30 to 39,66,
2021-09-03,40 to 49,78,
2021-09-03,50 to 59,89,
2021-09-03,60 to 69,25,
2021-09-03,70+,19,
2021-09-03,Unknown,0,
2021-09-04,0 to 9,102,
2021-09-04,10 to 19,187,
2021-09-04,20 to 29,209,
2021-09-04,30 to 39,68,
2021-09-04,40 to 49,78,
2021-09-04,50 to 59,91,
2021-09-04,60 to 69,26,
2021-09-04,70+,21,
2021-09-04,Unknown,0,
2021-09-05,0 to 9,107,
2021-09-05,10 to 19,190,
2021-09-05,20 to 29,218,
2021-09-05,30 to 39,71,
2021-09-05,40 to 49,77,
2021-09-05,50 to 59,91,
2021-09-05,60 to 69,26,
2021-09-05,70+,21,
2021-09-05,Unknown,0,
2021-09-06,0 to 9,110,
2021-09-06,10 to 19,192,
2021-09-06,20 to 29,222,
2021-09-06,30 to 39,76,
2021-09-06,40 to 49,82,
2021-09-06,50 to 59,91,
2021-09-06,60 to 69,27,
2021-09-06,70+,21,
2021-09-06,Unknown,0,
2021-09-07,0 to 9,118,
2021-09-07,10 to 19,196,
2021-09-07,20 to 29,228,
2021-09-07,30 to 39,77,
2021-09-07,40 to 49,84,
2021-09-07,50 to 59,92,
2021-09-07,60 to 69,27,
2021-09-07,70+,20,
2021-09-07,Unknown,0,
2021-09-08,0 to 9,121,
2021-09-08,10 to 19,198,
2021-09-08,20 to 29,231,
2021-09-08,30 to 39,78,
2021-09-08,40 to 49,85,
2021-09-08,50 to 59,94,
2021-09-08,60 to 69,28,
2021-09-08,70+,21,
2021-09-08,Unknown,0,
2021-09-09,0 to 9,125,
2021-09-09,10 to 19,201,
2021-09-09,20 to 29,234,
2021-09-09,30 to 39,79,
2021-09-09,40 to 49,85,
2021-09-09,50 to 59,94,
2021-09-09,60 to 69,30,
2021-09-09,70+,21,
2021-09-09,Unknown,0,
2021-09-10,0 to 9,126,
2021-09-10,10 to 19,206,
2021-09-10,20 to 29,236,
2021-09-10,30 to 39,80,
2021-09-10,40 to 49,86,
2021-09-10,50 to 59,94,
2021-09-10,60 to 69,30,
2021-09-10,70+,21,
2021-09-10,Unknown,0,
2021-09-11,0 to 9,135,
2021-09-11,10 to 19,209,
2021-09-11,20 to 29,239,
2021-09-11,30 to 39,83,
2021-09-11,40 to 49,88,
2021-09-11,50 to 59,96,
2021-09-11,60 to 69,31,
2021-09-11,70+,21,
2021-09-11,Unknown,0,
2021-09-13,0 to 9,156,
2021-09-13,10 to 19,223,
2021-09-13,20 to 29,245,
2021-09-13,30 to 39,86,
2021-09-13,40 to 49,93,
2021-09-13,50 to 59,99,
2021-09-13,60 to 69,31,
2021-09-13,70+,22,
2021-09-13,Unknown,0,
2021-09-14,0 to 9,165,
2021-09-14,10 to 19,224,
2021-09-14,20 to 29,249,
2021-09-14,30 to 39,85,
2021-09-14,40 to 49,94,
2021-09-14,50 to 59,99,
2021-09-14,60 to 69,31,
2021-09-14,70+,23,
2021-09-14,Unknown,0,
2021-09-17,0 to 9,167,
2021-09-17,10 to 19,239,
2021-09-17,20 to 29,256,
2021-09-17,30 to 39,90,
2021-09-17,40 to 49,96,
2021-09-17,50 to 59,101,
2021-09-17,60 to 69,33,
2021-09-17,70+,25,
2021-09-17,Unknown,0,
2021-09-18,0 to 9,171,
2021-09-18,10 to 19,242,
2021-09-18,20 to 29,264,
2021-09-18,30 to 39,91,
2021-09-18,40 to 49,98,
2021-09-18,50 to 59,103,
2021-09-18,60 to 69,33,
2021-09-18,70+,25,
2021-09-18,Unknown,0,
2021-09-19,0 to 9,178,
2021-09-19,10 to 19,245,
2021-09-19,20 to 29,269,
2021-09-19,30 to 39,94,
2021-09-19,40 to 49,99,
2021-09-19,50 to 59,103,
2021-09-19,60 to 69,36,
2021-09-19,70+,25,
2021-09-19,Unknown,1,
2021-09-21,0 to 9,185,
2021-09-21,10 to 19,253,
2021-09-21,20 to 29,276,
2021-09-21,30 to 39,97,
2021-09-21,40 to 49,107,
2021-09-21,50 to 59,105,
2021-09-21,60 to 69,36,
2021-09-21,70+,26,
2021-09-21,Unknown,0,
2021-09-22,0 to 9,192,
2021-09-22,10 to 19,258,
2021-09-22,20 to 29,280,
2021-09-22,30 to 39,97,
2021-09-22,40 to 49,113,
2021-09-22,50 to 59,105,
2021-09-22,60 to 69,37,
2021-09-22,70+,26,
2021-09-22,Unknown,0,
2021-09-23,0 to 9,196,
2021-09-23,10 to 19,259,
2021-09-23,20 to 29,283,
2021-09-23,30 to 39,99,
2021-09-23,40 to 49,115,
2021-09-23,50 to 59,107,
2021-09-23,60 to 69,38,
2021-09-23,70+,26,
2021-09-23,Unknown,0,
2021-09-24,0 to 9,199,
2021-09-24,10 to 19,261,
2021-09-24,20 to 29,284,
2021-09-24,30 to 39,99,
2021-09-24,40 to 49,116,
2021-09-24,50 to 59,107,
2021-09-24,60 to 69,39,
2021-09-24,70+,26,
2021-09-24,Unknown,0,
2021-09-25,0 to 9,200,
2021-09-25,10 to 19,265,
2021-09-25,20 to 29,287,
2021-09-25,30 to 39,103,
2021-09-25,40 to 49,116,
2021-09-25,50 to 59,111,
2021-09-25,60 to 69,39,
2021-09-25,70+,26,
2021-09-25,Unknown,0,
2021-09-26,0 to 9,202,
2021-09-26,10 to 19,268,
2021-09-26,20 to 29,289,
2021-09-26,30 to 39,106,
2021-09-26,40 to 49,119,
2021-09-26,50 to 59,114,
2021-09-26,60 to 69,40,
2021-09-26,70+,26,
2021-09-26,Unknown,1,
2021-09-27,0 to 9,206,
2021-09-27,10 to 19,270,
2021-09-27,20 to 29,292,
2021-09-27,30 to 39,107,
2021-09-27,40 to 49,121,
2021-09-27,50 to 59,114,
2021-09-27,60 to 69,41,
2021-09-27,70+,26,
2021-09-27,Unknown,0,
2021-09-28,0 to 9,208,
2021-09-28,10 to 19,273,
2021-09-28,20 to 29,293,
2021-09-28,30 to 39,107,
2021-09-28,40 to 49,122,
2021-09-28,50 to 59,115,
2021-09-28,60 to 69,41,
2021-09-28,70+,26,
2021-09-28,Unknown,0,
2021-09-29,0 to 9,224,
2021-09-29,10 to 19,277,
2021-09-29,20 to 29,304,
2021-09-29,30 to 39,112,
2021-09-29,40 to 49,127,
2021-09-29,50 to 59,117,
2021-09-29,60 to 69,43,
2021-09-29,70+,26,
2021-09-29,Unknown,0,
2021-09-30,0 to 9,226,
2021-09-30,10 to 19,282,
2021-09-30,20 to 29,308,
2021-09-30,30 to 39,112,
2021-09-30,40 to 49,133,
2021-09-30,50 to 59,118,
2021-09-30,60 to 69,43,
2021-09-30,70+,27,
2021-09-30,Unknown,0,
2021-10-01,0 to 9,230,
2021-10-01,10 to 19,285,
2021-10-01,20 to 29,314,
2021-10-01,30 to 39,114,
2021-10-01,40 to 49,135,
2021-10-01,50 to 59,120,
2021-10-01,60 to 69,43,
2021-10-01,70+,27,
2021-10-01,Unknown,0,
2021-10-02,0 to 9,235,
2021-10-02,10 to 19,292,
2021-10-02,20 to 29,316,
2021-10-02,30 to 39,120,
2021-10-02,40 to 49,136,
2021-10-02,50 to 59,124,
2021-10-02,60 to 69,45,
2021-10-02,70+,27,
2021-10-02,Unknown,0,
2021-10-03,0 to 9,239,
2021-10-03,10 to 19,297,
2021-10-03,20 to 29,322,
2021-10-03,30 to 39,125,
2021-10-03,40 to 49,144,
2021-10-03,50 to 59,128,
2021-10-03,60 to 69,45,
2021-10-03,70+,28,
2021-10-03,Unknown,0,
2021-10-04,0 to 9,245,
2021-10-04,10 to 19,301,
2021-10-04,20 to 29,325,
2021-10-04,30 to 39,131,
2021-10-04,40 to 49,147,
2021-10-04,50 to 59,133,
2021-10-04,60 to 69,47,
2021-10-04,70+,28,
2021-10-04,Unknown,0,
2021-10-05,0 to 9,245,
2021-10-05,10 to 19,303,
2021-10-05,20 to 29,329,
2021-10-05,30 to 39,136,
2021-10-05,40 to 49,153,
2021-10-05,50 to 59,140,
2021-10-05,60 to 69,47,
2021-10-05,70+,28,
2021-10-05,Unknown,0,
2021-10-06,0 to 9,247,
2021-10-06,10 to 19,307,
2021-10-06,20 to 29,337,
2021-10-06,30 to 39,148,
2021-10-06,40 to 49,159,
2021-10-06,50 to 59,145,
2021-10-06,60 to 69,49,
2021-10-06,70+,28,
2021-10-06,Unknown,0,
2021-10-07,0 to 9,251,
2021-10-07,10 to 19,310,
2021-10-07,20 to 29,343,
2021-10-07,30 to 39,154,
2021-10-07,40 to 49,165,
2021-10-07,50 to 59,148,
2021-10-07,60 to 69,49,
2021-10-07,70+,28,
2021-10-07,Unknown,0,
2021-10-08,0 to 9,261,
2021-10-08,10 to 19,315,
2021-10-08,20 to 29,350,
2021-10-08,30 to 39,164,
2021-10-08,40 to 49,170,
2021-10-08,50 to 59,155,
2021-10-08,60 to 69,50,
2021-10-08,70+,28,
2021-10-08,Unknown,0,
2021-10-09,0 to 9,266,
2021-10-09,10 to 19,321,
2021-10-09,20 to 29,354,
2021-10-09,30 to 39,170,
2021-10-09,40 to 49,173,
2021-10-09,50 to 59,162,
2021-10-09,60 to 69,53,
2021-10-09,70+,28,
2021-10-09,Unknown,0,
2021-10-10,0 to 9,273,
2021-10-10,10 to 19,327,
2021-10-10,20 to 29,363,
2021-10-10,30 to 39,182,
2021-10-10,40 to 49,190,
2021-10-10,50 to 59,168,
2021-10-10,60 to 69,54,
2021-10-10,70+,30,
2021-10-10,Unknown,0,
2021-10-11,0 to 9,278,
2021-10-11,10 to 19,331,
2021-10-11,20 to 29,370,
2021-10-11,30 to 39,190,
2021-10-11,40 to 49,195,
2021-10-11,50 to 59,173,
2021-10-11,60 to 69,55,
2021-10-11,70+,30,
2021-10-11,Unknown,0,
2021-10-12,0 to 9,286,
2021-10-12,10 to 19,337,
2021-10-12,20 to 29,377,
2021-10-12,30 to 39,201,
2021-10-12,40 to 49,201,
2021-10-12,50 to 59,176,
2021-10-12,60 to 69,56,
2021-10-12,70+,30,
2021-10-12,Unknown,0,
2021-10-13,0 to 9,299,
2021-10-13,10 to 19,346,
2021-10-13,20 to 29,382,
2021-10-13,30 to 39,217,
2021-10-13,40 to 49,208,
2021-10-13,50 to 59,178,
2021-10-13,60 to 69,57,
2021-10-13,70+,32,
2021-10-13,Unknown,0,
2021-10-14,0 to 9,311,7
2021-10-14,10 to 19,363,5
2021-10-14,20 to 29,397,26
2021-10-14,30 to 39,231,21
2021-10-14,40 to 49,215,41
2021-10-14,50 to 59,183,40
2021-10-14,60 to 69,57,14
2021-10-14,70+,33,16
2021-10-14,Unknown,0,0
2021-10-14,Total,1790,170
2021-10-15,0 to 9,321,7
2021-10-15,10 to 19,370,5
2021-10-15,20 to 29,406,26
2021-10-15,30 to 39,247,23
2021-10-15,40 to 49,228,42
2021-10-15,50 to 59,189,40
2021-10-15,60 to 69,60,14
2021-10-15,70+,34,16
2021-10-15,Unknown,0,0
2021-10-15,Total,1855,173
2021-10-16,0 to 9,326,7
2021-10-16,10 to 19,371,5
2021-10-16,20 to 29,419,27
2021-10-16,30 to 39,251,23
2021-10-16,40 to 49,234,42
2021-10-16,50 to 59,196,41
2021-10-16,60 to 69,63,14
2021-10-16,70+,35,16
2021-10-16,Unknown,0,0
2021-10-16,Total,1895,175
2021-10-17,0 to 9,328,7
2021-10-17,10 to 19,376,5
2021-10-17,20 to 29,431,27
2021-10-17,30 to 39,270,24
2021-10-17,40 to 49,238,43
2021-10-17,50 to 59,200,42
2021-10-17,60 to 69,67,14
2021-10-17,70+,35,16
2021-10-17,Unknown,0,0
2021-10-17,Total,1945,178
2021-10-18,0 to 9,338,7
2021-10-18,10 to 19,386,5
2021-10-18,20 to 29,443,28
2021-10-18,30 to 39,289,24
2021-10-18,40 to 49,244,43
2021-10-18,50 to 59,202,42
2021-10-18,60 to 69,68,14
2021-10-18,70+,35,16
2021-10-18,Unknown,0,0
2021-10-18,Total,2005,179
2021-10-19,0 to 9,350,7
2021-10-19,10 to 19,401,5
2021-10-19,20 to 29,457,28
2021-10-19,30 to 39,312,25
2021-10-19,40 to 49,262,43
2021-10-19,50 to 59,206,42
2021-10-19,60 to 69,73,15
2021-10-19,70+,38,16
2021-10-19,Unknown,0,0
2021-10-19,Total,2099,181
2021-10-20,0 to 9,355,7
2021-10-20,10 to 19,409,5
2021-10-20,20 to 29,468,29
2021-10-20,30 to 39,330,27
2021-10-20,40 to 49,267,44
2021-10-20,50 to 59,211,44
2021-10-20,60 to 69,79,15
2021-10-20,70+,39,17
2021-10-20,Unknown,0,0
2021-10-20,Total,2158,188
2021-10-21,0 to 9,378,7
2021-10-21,10 to 19,426,5
2021-10-21,20 to 29,486,33
2021-10-21,30 to 39,352,29
2021-10-21,40 to 49,278,44
2021-10-21,50 to 59,218,44
2021-10-21,60 to 69,82,17
2021-10-21,70+,40,17
2021-10-21,Unknown,0,0
2021-10-21,Total,2260,196
2021-10-22,0 to 9,400,7
2021-10-22,10 to 19,441,7
2021-10-22,20 to 29,515,34
2021-10-22,30 to 39,376,31
2021-10-22,40 to 49,298,47
2021-10-22,50 to 59,229,45
2021-10-22,60 to 69,85,18
2021-10-22,70+,45,18
2021-10-22,Unknown,0,0
2021-10-22,Total,2389,207
2021-10-23,0 to 9,418,7
2021-10-23,10 to 19,451,7
2021-10-23,20 to 29,539,36
2021-10-23,30 to 39,402,33
2021-10-23,40 to 49,307,47
2021-10-23,50 to 59,238,45
2021-10-23,60 to 69,91,18
2021-10-23,70+,46,18
2021-10-23,Unknown,0,0
2021-10-23,Total,2492,211
2021-10-25,0 to 9,447,8
2021-10-25,10 to 19,476,6
2021-10-25,20 to 29,574,38
2021-10-25,30 to 39,451,42
2021-10-25,40 to 49,331,49
2021-10-25,50 to 59,259,45
2021-10-25,60 to 69,95,18
2021-10-25,70+,48,18
2021-10-25,Unknown,0,0
2021-10-25,Total,2681,224
2021-10-26,0 to 9,466,8
2021-10-26,10 to 19,482,6
2021-10-26,20 to 29,589,39
2021-10-26,30 to 39,462,41
2021-10-26,40 to 49,340,49
2021-10-26,50 to 59,274,45
2021-10-26,60 to 69,98,18
2021-10-26,70+,48,18
2021-10-26,Unknown,0,0
2021-10-26,Total,2759,224
2021-10-27,0 to 9,473,8
2021-10-27,10 to 19,489,6
2021-10-27,20 to 29,603,41
2021-10-27,30 to 39,482,42
2021-10-27,40 to 49,352,52
2021-10-27,50 to 59,282,46
2021-10-27,60 to 69,101,18
2021-10-27,70+,50,18
2021-10-27,Unknown,0,0
2021-10-27,Total,2832,231
2021-10-28,0 to 9,483,9
2021-10-28,10 to 19,501,6
2021-10-28,20 to 29,626,42
2021-10-28,30 to 39,503,43
2021-10-28,40 to 49,360,53
2021-10-28,50 to 59,294,47
2021-10-28,60 to 69,103,18
2021-10-28,70+,51,18
2021-10-28,Unknown,0,0
2021-10-28,Total,2921,236
2021-10-29,0 to 9,510,10
2021-10-29,10 to 19,521,6
2021-10-29,20 to 29,642,43
2021-10-29,30 to 39,528,44
2021-10-29,40 to 49,375,53
2021-10-29,50 to 59,306,47
2021-10-29,60 to 69,109,19
2021-10-29,70+,54,19
2021-10-29,Unknown,1,0
2021-10-29,Total,3046,241
2021-10-30,0 to 9,533,11
2021-10-30,10 to 19,538,6
2021-10-30,20 to 29,677,43
2021-10-30,30 to 39,565,44
2021-10-30,40 to 49,397,55
2021-10-30,50 to 59,325,50
2021-10-30,60 to 69,113,19
2021-10-30,70+,56,19
2021-10-30,Unknown,1,0
2021-10-30,Total,3205,247
2021-10-31,0 to 9,562,11
2021-10-31,10 to 19,556,6
2021-10-31,20 to 29,705,46
2021-10-31,30 to 39,584,45
2021-10-31,40 to 49,414,57
2021-10-31,50 to 59,339,51
2021-10-31,60 to 69,120,19
2021-10-31,70+,68,20
2021-10-31,Unknown,0,0
2021-10-31,Total,3348,255
2021-11-01,0 to 9,589,12
2021-11-01,10 to 19,584,6
2021-11-01,20 to 29,736,46
2021-11-01,30 to 39,621,47
2021-11-01,40 to 49,428,57
2021-11-01,50 to 59,354,53
2021-11-01,60 to 69,128,19
2021-11-01,70+,70,20
2021-11-01,Unknown,0,0
2021-11-01,Total,3510,260
2021-11-02,0 to 9,605,12
2021-11-02,10 to 19,599,6
2021-11-02,20 to 29,759,47
2021-11-02,30 to 39,650,47
2021-11-02,40 to 49,448,58
2021-11-02,50 to 59,367,54
2021-11-02,60 to 69,134,19
2021-11-02,70+,72,20
2021-11-02,Unknown,0,0
2021-11-02,Total,3634,263
2021-11-03,0 to 9,626,13
2021-11-03,10 to 19,613,6
2021-11-03,20 to 29,778,48
2021-11-03,30 to 39,666,47
2021-11-03,40 to 49,459,60
2021-11-03,50 to 59,378,56
2021-11-03,60 to 69,139,21
2021-11-03,70+,74,21
2021-11-03,Unknown,0,0
2021-11-03,Total,3733,272
2021-11-05,0 to 9,669,13
2021-11-05,10 to 19,654,6
2021-11-05,20 to 29,838,51
2021-11-05,30 to 39,736,50
2021-11-05,40 to 49,494,63
2021-11-05,50 to 59,403,59
2021-11-05,60 to 69,160,22
2021-11-05,70+,80,21
2021-11-05,Unknown,0,0
2021-11-05,Total,4034,285
2021-11-11,0 to 9,837,15
2021-11-11,10 to 19,824,6
2021-11-11,20 to 29,1040,54
2021-11-11,30 to 39,892,56
2021-11-11,40 to 49,615,66
2021-11-11,50 to 59,497,69
2021-11-11,60 to 69,194,27
2021-11-11,70+,99,22
2021-11-11,Unknown,0,0
2021-11-11,Total,4998,315
2021-11-15,0 to 9,978,16
2021-11-15,10 to 19,974,8
2021-11-15,20 to 29,1214,61
2021-11-15,30 to 39,1010,62
2021-11-15,40 to 49,689,68
2021-11-15,50 to 59,547,72
2021-11-15,60 to 69,224,28
2021-11-15,70+,114,24
2021-11-15,Unknown,1,0
2021-11-15,Total,5751,339
2021-11-17,0 to 9,1068,20
2021-11-17,10 to 19,1046,9
2021-11-17,20 to 29,1314,66
2021-11-17,30 to 39,1068,65
2021-11-17,40 to 49,732,68
2021-11-17,50 to 59,574,74
2021-11-17,60 to 69,241,29
2021-11-17,70+,123,27
2021-11-17,Unknown,1,0
2021-11-17,Total,6167,358
2021-11-18,0 to 9,1108,20
2021-11-18,10 to 19,1080,10
2021-11-18,20 to 29,1336,68
2021-11-18,30 to 39,1099,65
2021-11-18,40 to 49,749,68
2021-11-18,50 to 59,588,76
2021-11-18,60 to 69,248,29
2021-11-18,70+,125,28
2021-11-18,Unknown,1,0
2021-11-18,Total,6334,364
2021-11-20,0 to 9,1189,22
2021-11-20,10 to 19,1137,10
2021-11-20,20 to 29,1418,69
2021-11-20,30 to 39,1171,68
