date,age_group,total_cases,total_cases_hospitalised
2022-03-23,Unknown,1,0
2022-03-23,Total,551685,4053
2022-03-24,0 to 9,67529,329
2022-03-24,10 to 19,111500,207
2022-03-24,20 to 29,120923,628
2022-03-24,30 to 39,101941,657
2022-03-24,40 to 49,76817,448
2022-03-24,50 to 59,49658,531
2022-03-24,60 to 69,25294,485
2022-03-24,70+,13905,954
2022-03-24,Unknown,1,0
2022-03-24,Total,567568,4239
2022-03-25,0 to 9,69717,342
2022-03-25,10 to 19,113972,214
2022-03-25,20 to 29,123204,656
2022-03-25,30 to 39,104354,677
2022-03-25,40 to 49,79004,463
2022-03-25,50 to 59,51015,545
2022-03-25,60 to 69,26047,502
2022-03-25,70+,14441,985
2022-03-25,Unknown,1,0
2022-03-25,Total,581755,4384
2022-03-26,0 to 9,71257,346
2022-03-26,10 to 19,115812,222
2022-03-26,20 to 29,124797,665
2022-03-26,30 to 39,106135,686
2022-03-26,40 to 49,80500,471
2022-03-26,50 to 59,52063,555
2022-03-26,60 to 69,26626,511
2022-03-26,70+,14807,1008
2022-03-26,Unknown,1,0
2022-03-26,Total,591998,4464
2022-03-27,0 to 9,73336,353
2022-03-27,10 to 19,118171,228
2022-03-27,20 to 29,126765,682
2022-03-27,30 to 39,108466,699
2022-03-27,40 to 49,82439,481
2022-03-27,50 to 59,53252,569
2022-03-27,60 to 69,27311,522
2022-03-27,70+,15145,1030
2022-03-27,Unknown,1,0
2022-03-27,Total,604886,4564
2022-03-28,0 to 9,76442,360
2022-03-28,10 to 19,121483,237
2022-03-28,20 to 29,129822,702
2022-03-28,30 to 39,111959,722
2022-03-28,40 to 49,85181,491
2022-03-28,50 to 59,55030,583
2022-03-28,60 to 69,28334,531
2022-03-28,70+,15732,1057
2022-03-28,Unknown,1,0
2022-03-28,Total,623984,4683
2022-03-29,0 to 9,78739,365
2022-03-29,10 to 19,124257,243
2022-03-29,20 to 29,132593,718
2022-03-29,30 to 39,114810,739
2022-03-29,40 to 49,87528,503
2022-03-29,50 to 59,56525,602
2022-03-29,60 to 69,29203,545
2022-03-29,70+,16257,1095
2022-03-29,Unknown,1,0
2022-03-29,Total,639913,4810
2022-03-30,0 to 9,80538,371
2022-03-30,10 to 19,126495,251
2022-03-30,20 to 29,134892,748
2022-03-30,30 to 39,117091,764
2022-03-30,40 to 49,89654,513
2022-03-30,50 to 59,57812,620
2022-03-30,60 to 69,29960,562
2022-03-30,70+,16797,1119
2022-03-30,Unknown,1,0
2022-03-30,Total,653240,4948
2022-03-31,0 to 9,82552,383
2022-03-31,10 to 19,128671,255
2022-03-31,20 to 29,137070,758
2022-03-31,30 to 39,119530,781
2022-03-31,40 to 49,91711,534
2022-03-31,50 to 59,59153,636
2022-03-31,60 to 69,30710,576
2022-03-31,70+,17330,1139
2022-03-31,Unknown,1,0
2022-03-31,Total,666728,5062
2022-04-02,0 to 9,85773,406
2022-04-02,10 to 19,132188,271
2022-04-02,20 to 29,140075,789
2022-04-02,30 to 39,123066,811
2022-04-02,40 to 49,94806,555
2022-04-02,50 to 59,61209,670
2022-04-02,60 to 69,31882,601
2022-04-02,70+,18162,1202
2022-04-02,Unknown,1,0
2022-04-02,Total,687162,5305
2022-04-03,0 to 9,87348,408
2022-04-03,10 to 19,133908,277
2022-04-03,20 to 29,141658,802
2022-04-03,30 to 39,124879,818
2022-04-03,40 to 49,96387,562
2022-04-03,50 to 59,62239,684
2022-04-03,60 to 69,32481,603
2022-04-03,70+,18475,1214
2022-04-03,Unknown,1,0
2022-04-03,Total,697376,5368
2022-04-04,0 to 9,89531,415
2022-04-04,10 to 19,136393,281
2022-04-04,20 to 29,143773,816
2022-04-04,30 to 39,127381,826
2022-04-04,40 to 49,98453,566
2022-04-04,50 to 59,63649,681
2022-04-04,60 to 69,33332,609
2022-04-04,70+,18998,1238
2022-04-04,Unknown,1,0
2022-04-04,Total,711511,5432
2022-04-05,0 to 9,91447,432
2022-04-05,10 to 19,138431,292
2022-04-05,20 to 29,145837,841
2022-04-05,30 to 39,129636,852
2022-04-05,40 to 49,100285,582
2022-04-05,50 to 59,64886,694
2022-04-05,60 to 69,34055,634
2022-04-05,70+,19525,1276
2022-04-05,Unknown,1,0
2022-04-05,Total,724103,5603
2022-04-06,0 to 9,93064,453
2022-04-06,10 to 19,140166,304
2022-04-06,20 to 29,147855,869
2022-04-06,30 to 39,131789,870
2022-04-06,40 to 49,102059,602
2022-04-06,50 to 59,66045,712
2022-04-06,60 to 69,34816,653
2022-04-06,70+,19960,1325
2022-04-06,Unknown,1,0
2022-04-06,Total,735755,5788
2022-04-08,0 to 9,95759,466
2022-04-08,10 to 19,143035,310
2022-04-08,20 to 29,150713,905
2022-04-08,30 to 39,135108,909
2022-04-08,40 to 49,104840,620
2022-04-08,50 to 59,67827,735
2022-04-08,60 to 69,36026,680
2022-04-08,70+,20903,1382
2022-04-08,Unknown,1,0
2022-04-08,Total,754212,6007
2022-04-09,0 to 9,96848,470
2022-04-09,10 to 19,144136,317
2022-04-09,20 to 29,151668,920
2022-04-09,30 to 39,136349,939
2022-04-09,40 to 49,105823,633
2022-04-09,50 to 59,68475,751
2022-04-09,60 to 69,36440,691
2022-04-09,70+,21194,1395
2022-04-09,Unknown,1,0
2022-04-09,Total,760934,6116
2022-04-10,0 to 9,97957,471
2022-04-10,10 to 19,145425,319
2022-04-10,20 to 29,152827,926
2022-04-10,30 to 39,137788,945
2022-04-10,40 to 49,106958,639
2022-04-10,50 to 59,69239,753
2022-04-10,60 to 69,36871,697
2022-04-10,70+,21463,1410
2022-04-10,Unknown,1,0
2022-04-10,Total,768529,6160
2022-04-11,0 to 9,99628,477
2022-04-11,10 to 19,147233,329
2022-04-11,20 to 29,154599,943
2022-04-11,30 to 39,139733,958
2022-04-11,40 to 49,108539,652
2022-04-11,50 to 59,70364,766
2022-04-11,60 to 69,37552,711
2022-04-11,70+,21959,1434
2022-04-11,Unknown,1,0
2022-04-11,Total,779608,6270
2022-04-12,0 to 9,100939,480
2022-04-12,10 to 19,148736,334
2022-04-12,20 to 29,156200,957
2022-04-12,30 to 39,141474,978
2022-04-12,40 to 49,109894,657
2022-04-12,50 to 59,71312,774
2022-04-12,60 to 69,38159,721
2022-04-12,70+,22392,1463
2022-04-12,Unknown,1,0
2022-04-12,Total,789107,6364
2022-04-13,0 to 9,102152,490
2022-04-13,10 to 19,150145,344
2022-04-13,20 to 29,157873,975
2022-04-13,30 to 39,143289,995
2022-04-13,40 to 49,111309,669
2022-04-13,50 to 59,72280,786
2022-04-13,60 to 69,38763,739
2022-04-13,70+,22864,1491
2022-04-13,Unknown,1,0
2022-04-13,Total,798676,6489
2022-04-14,0 to 9,103086,500
2022-04-14,10 to 19,151210,349
2022-04-14,20 to 29,159098,997
2022-04-14,30 to 39,144679,1020
2022-04-14,40 to 49,112572,675
2022-04-14,50 to 59,73174,795
2022-04-14,60 to 69,39293,752
2022-04-14,70+,23329,1518
2022-04-14,Unknown,1,0
2022-04-14,Total,806442,6606
2022-04-15,0 to 9,103882,506
2022-04-15,10 to 19,152068,355
2022-04-15,20 to 29,159996,1008
2022-04-15,30 to 39,145727,1036
2022-04-15,40 to 49,113435,686
2022-04-15,50 to 59,73766,800
2022-04-15,60 to 69,39700,760
2022-04-15,70+,23617,1554
2022-04-15,Unknown,1,0
2022-04-15,Total,812192,6705
2022-04-16,0 to 9,104694,509
2022-04-16,10 to 19,152942,357
2022-04-16,20 to 29,160905,1010
2022-04-16,30 to 39,146742,1045
2022-04-16,40 to 49,114342,693
2022-04-16,50 to 59,74407,802
2022-04-16,60 to 69,40125,770
2022-04-16,70+,23967,1570
2022-04-16,Unknown,1,0
2022-04-16,Total,818125,6756
2022-04-17,0 to 9,105510,517
2022-04-17,10 to 19,153905,363
2022-04-17,20 to 29,161988,1023
2022-04-17,30 to 39,148005,1052
2022-04-17,40 to 49,115330,700
2022-04-17,50 to 59,75123,809
2022-04-17,60 to 69,40588,777
2022-04-17,70+,24296,1585
2022-04-17,Unknown,1,0
2022-04-17,Total,824746,6826
2022-04-18,0 to 9,106407,521
2022-04-18,10 to 19,155114,371
2022-04-18,20 to 29,163529,1030
2022-04-18,30 to 39,149523,1064
2022-04-18,40 to 49,116595,705
2022-04-18,50 to 59,76005,815
2022-04-18,60 to 69,41167,785
2022-04-18,70+,24671,1603
2022-04-18,Unknown,1,0
2022-04-18,Total,833012,6894
2022-04-19,0 to 9,107638,526
2022-04-19,10 to 19,156614,373
2022-04-19,20 to 29,165562,1040
2022-04-19,30 to 39,151659,1074
2022-04-19,40 to 49,118209,714
2022-04-19,50 to 59,77277,824
2022-04-19,60 to 69,41994,799
2022-04-19,70+,25286,1633
2022-04-19,Unknown,1,0
2022-04-19,Total,844240,6983
2022-04-20,0 to 9,108654,535
2022-04-20,10 to 19,157964,375
2022-04-20,20 to 29,167547,1055
2022-04-20,30 to 39,153542,1095
2022-04-20,40 to 49,119745,726
2022-04-20,50 to 59,78441,833
2022-04-20,60 to 69,42769,808
2022-04-20,70+,25882,1667
2022-04-20,Unknown,1,0
2022-04-20,Total,854545,7094
2022-04-21,0 to 9,109629,537
2022-04-21,10 to 19,159215,381
2022-04-21,20 to 29,169124,1063
2022-04-21,30 to 39,155210,1109
2022-04-21,40 to 49,121216,739
2022-04-21,50 to 59,79560,841
2022-04-21,60 to 69,43528,823
2022-04-21,70+,26475,1688
2022-04-21,Unknown,2,0
2022-04-21,Total,863959,7181
2022-04-22,0 to 9,110528,547
2022-04-22,10 to 19,160239,388
2022-04-22,20 to 29,170374,1082
2022-04-22,30 to 39,156524,1128
2022-04-22,40 to 49,122405,750
2022-04-22,50 to 59,80609,853
2022-04-22,60 to 69,44196,843
2022-04-22,70+,27009,1716
2022-04-22,Unknown,2,0
2022-04-22,Total,871886,7307
2022-04-23,0 to 9,111148,557
2022-04-23,10 to 19,160964,388
2022-04-23,20 to 29,171297,1101
2022-04-23,30 to 39,157535,1147
2022-04-23,40 to 49,123279,759
2022-04-23,50 to 59,81316,866
2022-04-23,60 to 69,44667,852
2022-04-23,70+,27347,1739
2022-04-23,Unknown,2,0
2022-04-23,Total,877555,7409
2022-04-24,0 to 9,111689,561
2022-04-24,10 to 19,161771,393
2022-04-24,20 to 29,172271,1108
2022-04-24,30 to 39,158501,1155
2022-04-24,40 to 49,124144,767
2022-04-24,50 to 59,82042,872
2022-04-24,60 to 69,45152,859
2022-04-24,70+,27675,1751
2022-04-24,Unknown,2,0
2022-04-24,Total,883247,7466
2022-04-25,0 to 9,112234,566
2022-04-25,10 to 19,162587,398
2022-04-25,20 to 29,173524,1118
2022-04-25,30 to 39,159708,1166
2022-04-25,40 to 49,125133,776
2022-04-25,50 to 59,82819,876
2022-04-25,60 to 69,45625,863
2022-04-25,70+,27979,1761
2022-04-25,Unknown,2,0
2022-04-25,Total,889611,7524
2022-04-26,0 to 9,113049,573
2022-04-26,10 to 19,163805,402
2022-04-26,20 to 29,175556,1128
2022-04-26,30 to 39,161349,1191
2022-04-26,40 to 49,126496,787
2022-04-26,50 to 59,84085,890
2022-04-26,60 to 69,46438,869
2022-04-26,70+,28656,1803
2022-04-26,Unknown,2,0
2022-04-26,Total,899436,7643
2022-04-27,0 to 9,113710,581
2022-04-27,10 to 19,164892,409
2022-04-27,20 to 29,177590,1143
2022-04-27,30 to 39,162838,1213
2022-04-27,40 to 49,127747,794
2022-04-27,50 to 59,85227,907
2022-04-27,60 to 69,47189,880
2022-04-27,70+,29282,1826
2022-04-27,Unknown,2,0
2022-04-27,Total,908477,7753
2022-04-28,0 to 9,114374,583
2022-04-28,10 to 19,165924,419
2022-04-28,20 to 29,179202,1166
2022-04-28,30 to 39,164261,1236
2022-04-28,40 to 49,128967,807
2022-04-28,50 to 59,86269,924
2022-04-28,60 to 69,47881,891
2022-04-28,70+,29856,1854
2022-04-28,Unknown,2,0
2022-04-28,Total,916736,7880
2022-04-29,0 to 9,115050,588
2022-04-29,10 to 19,166810,424
2022-04-29,20 to 29,180477,1181
2022-04-29,30 to 39,165428,1252
2022-04-29,40 to 49,129932,825
2022-04-29,50 to 59,87220,935
2022-04-29,60 to 69,48463,902
2022-04-29,70+,30395,1876
2022-04-29,Unknown,2,0
2022-04-29,Total,923777,7983
2022-04-30,0 to 9,115625,592
2022-04-30,10 to 19,167516,427
2022-04-30,20 to 29,181548,1185
2022-04-30,30 to 39,166317,1268
2022-04-30,40 to 49,130748,834
2022-04-30,50 to 59,87964,946
2022-04-30,60 to 69,48940,909
2022-04-30,70+,30781,1892
2022-04-30,Unknown,2,0
2022-04-30,Total,929441,8053
2022-05-01,0 to 9,116213,593
2022-05-01,10 to 19,168432,431
2022-05-01,20 to 29,182751,1200
2022-05-01,30 to 39,167389,1281
2022-05-01,40 to 49,131722,841
2022-05-01,50 to 59,88891,953
2022-05-01,60 to 69,49473,914
2022-05-01,70+,31210,1903
2022-05-01,Unknown,2,0
2022-05-01,Total,936083,8116
2022-05-02,0 to 9,116960,598
2022-05-02,10 to 19,169588,439
2022-05-02,20 to 29,184481,1230
2022-05-02,30 to 39,168924,1290
2022-05-02,40 to 49,133015,851
2022-05-02,50 to 59,90111,959
2022-05-02,60 to 69,50250,926
2022-05-02,70+,31881,1934
2022-05-02,Unknown,2,0
2022-05-02,Total,945212,8227
2022-05-03,0 to 9,117575,604
2022-05-03,10 to 19,170640,441
2022-05-03,20 to 29,186238,1247
2022-05-03,30 to 39,170324,1301
2022-05-03,40 to 49,134175,858
2022-05-03,50 to 59,91224,977
2022-05-03,60 to 69,50981,934
2022-05-03,70+,32493,1966
2022-05-03,Unknown,2,0
2022-05-03,Total,953652,8328
2022-05-04,0 to 9,118174,615
2022-05-04,10 to 19,171662,452
2022-05-04,20 to 29,188093,1256
2022-05-04,30 to 39,171769,1318
2022-05-04,40 to 49,135325,871
2022-05-04,50 to 59,92364,997
2022-05-04,60 to 69,51774,952
2022-05-04,70+,33087,2002
2022-05-04,Unknown,2,0
2022-05-04,Total,962250,8463
2022-05-05,0 to 9,118801,625
2022-05-05,10 to 19,172542,460
2022-05-05,20 to 29,189501,1276
2022-05-05,30 to 39,172980,1336
2022-05-05,40 to 49,136320,884
2022-05-05,50 to 59,93351,1008
2022-05-05,60 to 69,52469,957
2022-05-05,70+,33624,2015
2022-05-05,Unknown,2,0
2022-05-05,Total,969590,8561
2022-05-06,0 to 9,119422,636
2022-05-06,10 to 19,173430,467
2022-05-06,20 to 29,190740,1294
2022-05-06,30 to 39,174011,1352
2022-05-06,40 to 49,137219,892
2022-05-06,50 to 59,94243,1016
2022-05-06,60 to 69,53108,967
2022-05-06,70+,34159,2032
2022-05-06,Unknown,2,0
2022-05-06,Total,976334,8656
2022-05-07,0 to 9,119950,642
2022-05-07,10 to 19,174157,474
2022-05-07,20 to 29,191757,1310
2022-05-07,30 to 39,174995,1370
2022-05-07,40 to 49,138020,904
2022-05-07,50 to 59,94998,1021
2022-05-07,60 to 69,53581,971
2022-05-07,70+,34527,2051
2022-05-07,Unknown,2,0
2022-05-07,Total,981987,8743
2022-05-08,0 to 9,120511,645
2022-05-08,10 to 19,175168,477
2022-05-08,20 to 29,192861,1318
2022-05-08,30 to 39,176054,1386
2022-05-08,40 to 49,138931,905
2022-05-08,50 to 59,95877,1026
2022-05-08,60 to 69,54098,977
2022-05-08,70+,34895,2060
2022-05-08,Unknown,2,0
2022-05-08,Total,988397,8794
2022-05-09,0 to 9,121439,650
2022-05-09,10 to 19,176481,481
2022-05-09,20 to 29,194470,1332
2022-05-09,30 to 39,177541,1398
2022-05-09,40 to 49,140243,908
2022-05-09,50 to 59,97045,1035
2022-05-09,60 to 69,54856,986
2022-05-09,70+,35505,2099
2022-05-09,Unknown,2,0
2022-05-09,Total,997582,8889
2022-05-10,0 to 9,122155,663
2022-05-10,10 to 19,177597,483
2022-05-10,20 to 29,195951,1347
2022-05-10,30 to 39,178807,1426
2022-05-10,40 to 49,141405,921
2022-05-10,50 to 59,98081,1055
2022-05-10,60 to 69,55515,1000
2022-05-10,70+,36039,2125
2022-05-10,Unknown,2,0
2022-05-10,Total,1005552,9020
2022-05-11,0 to 9,122887,669
2022-05-11,10 to 19,178873,487
2022-05-11,20 to 29,197760,1366
2022-05-11,30 to 39,180422,1445
2022-05-11,40 to 49,142806,933
2022-05-11,50 to 59,99297,1070
2022-05-11,60 to 69,56262,1010
2022-05-11,70+,36637,2161
2022-05-11,Unknown,2,0
2022-05-11,Total,1014946,9141
2022-05-12,0 to 9,123581,682
2022-05-12,10 to 19,179919,502
2022-05-12,20 to 29,198995,1391
2022-05-12,30 to 39,181625,1476
2022-05-12,40 to 49,143964,940
2022-05-12,50 to 59,100246,1091
2022-05-12,60 to 69,56878,1027
2022-05-12,70+,37192,2186
2022-05-12,Unknown,2,0
2022-05-12,Total,1022402,9295
2022-05-13,0 to 9,124264,680
2022-05-13,10 to 19,180975,510
2022-05-13,20 to 29,200015,1407
2022-05-13,30 to 39,182762,1493
2022-05-13,40 to 49,145033,950
2022-05-13,50 to 59,101167,1110
2022-05-13,60 to 69,57535,1043
2022-05-13,70+,37710,2209
2022-05-13,Unknown,2,0
2022-05-13,Total,1029463,9402
2022-05-14,0 to 9,124777,683
2022-05-14,10 to 19,181893,520
2022-05-14,20 to 29,200840,1426
2022-05-14,30 to 39,183693,1508
2022-05-14,40 to 49,145998,960
2022-05-14,50 to 59,101929,1122
2022-05-14,60 to 69,58022,1051
2022-05-14,70+,38059,2224
2022-05-14,Unknown,2,0
2022-05-14,Total,1035213,9494
2022-05-15,0 to 9,125388,687
2022-05-15,10 to 19,183013,527
2022-05-15,20 to 29,201861,1434
2022-05-15,30 to 39,184877,1518
2022-05-15,40 to 49,147138,968
2022-05-15,50 to 59,102909,1130
2022-05-15,60 to 69,58622,1055
2022-05-15,70+,38469,2235
2022-05-15,Unknown,2,0
2022-05-15,Total,1042279,9554
2022-05-16,0 to 9,126274,699
2022-05-16,10 to 19,184555,535
2022-05-16,20 to 29,203357,1444
2022-05-16,30 to 39,186454,1531
2022-05-16,40 to 49,148609,972
2022-05-16,50 to 59,104195,1138
2022-05-16,60 to 69,59493,1060
2022-05-16,70+,39190,2262
2022-05-16,Unknown,2,0
2022-05-16,Total,1052129,9641
2022-05-17,0 to 9,127108,708
2022-05-17,10 to 19,185946,546
2022-05-17,20 to 29,204904,1467
2022-05-17,30 to 39,187960,1560
2022-05-17,40 to 49,150128,978
2022-05-17,50 to 59,105445,1142
2022-05-17,60 to 69,60290,1076
2022-05-17,70+,39917,2303
2022-05-17,Unknown,2,0
2022-05-17,Total,1061700,9780
2022-05-18,0 to 9,127776,713
2022-05-18,10 to 19,187203,559
2022-05-18,20 to 29,206295,1480
2022-05-18,30 to 39,189529,1579
2022-05-18,40 to 49,151545,988
2022-05-18,50 to 59,106664,1154
2022-05-18,60 to 69,61104,1099
2022-05-18,70+,40676,2331
2022-05-18,Unknown,2,0
2022-05-18,Total,1070794,9903
2022-05-19,0 to 9,128403,730
2022-05-19,10 to 19,188294,567
2022-05-19,20 to 29,207398,1492
2022-05-19,30 to 39,190785,1599
2022-05-19,40 to 49,152830,1002
2022-05-19,50 to 59,107750,1167
2022-05-19,60 to 69,61785,1112
2022-05-19,70+,41355,2369
2022-05-19,Unknown,2,0
2022-05-19,Total,1078602,10038
