date,sex,total_hospitalised,total_icu
2020-11-05,Female,63,6
2020-11-05,Male,58,11
2020-11-05,Total,121,17
2020-11-12,Female,63,6
2020-11-12,Male,59,11
2020-11-12,Total,122,17
2020-11-26,Female,63,6
2020-11-26,Male,59,12
2020-11-26,Total,122,18
2020-12-02,Female,63,6
2020-12-02,Male,59,12
2020-12-02,Total,122,18
2020-12-09,Female,63,6
2020-12-09,Male,59,12
2020-12-09,Total,122,18
2020-12-31,Female,63,6
2020-12-31,Male,59,12
2020-12-31,Total,122,18
2021-01-10,Female,63,6
2021-01-10,Male,59,12
2021-01-10,Total,122,18
2021-01-13,Female,63,6
2021-01-13,Male,59,12
2021-01-13,Total,122,18
2021-01-24,Female,63,6
2021-01-24,Male,60,12
2021-01-24,Total,123,18
2021-01-25,Female,63,6
2021-01-25,Male,60,12
2021-01-25,Total,123,18
2021-02-04,Female,63,6
2021-02-04,Male,60,12
2021-02-04,Total,123,18
2021-02-18,Female,64,6
2021-02-18,Male,60,12
2021-02-18,Total,124,18
2021-02-21,Female,64,6
2021-02-21,Male,60,12
2021-02-21,Total,124,18
2021-02-22,Female,64,6
2021-02-22,Male,60,12
2021-02-22,Total,124,18
2021-02-28,Female,64,6
2021-02-28,Male,60,12
2021-02-28,Total,124,18
2021-03-01,Female,64,6
2021-03-01,Male,60,12
2021-03-01,Total,124,18
2021-03-02,Female,65,6
2021-03-02,Male,60,12
2021-03-02,Total,125,18
2021-03-03,Female,65,6
2021-03-03,Male,60,12
2021-03-03,Total,125,18
2021-03-08,Female,65,6
2021-03-08,Male,61,12
2021-03-08,Total,126,18
2021-04-19,Female,66,6
2021-04-19,Male,62,12
2021-04-19,Total,128,18
2021-05-24,Female,66,6
2021-05-24,Male,62,12
2021-05-24,Total,128,18
2021-06-13,Female,66,6
2021-06-13,Male,64,13
2021-06-13,Total,130,19
2021-06-29,Female,66,6
2021-06-29,Male,65,13
2021-06-29,Total,131,19
2021-07-26,Female,66,6
2021-07-26,Male,65,13
2021-07-26,Total,131,19
2021-08-19,Female,69,6
2021-08-19,Male,70,13
2021-08-19,Total,139,19
2021-08-20,Female,69,6
2021-08-20,Male,71,13
2021-08-20,Total,140,19
2021-08-21,Female,69,6
2021-08-21,Male,71,13
2021-08-21,Total,140,19
2021-08-22,Female,70,6
2021-08-22,Male,72,13
2021-08-22,Total,142,19
2021-08-23,Female,70,6
2021-08-23,Male,74,13
2021-08-23,Total,144,19
2021-08-24,Female,70,6
2021-08-24,Male,75,13
2021-08-24,Total,145,19
2021-08-25,Female,71,6
2021-08-25,Male,77,13
2021-08-25,Total,148,19
2021-08-26,Female,72,6
2021-08-26,Male,77,13
2021-08-26,Total,149,19
2021-08-28,Female,77,6
2021-08-28,Male,80,13
2021-08-28,Total,157,19
2021-08-29,Female,78,6
2021-08-29,Male,83,13
2021-08-29,Total,161,19
2021-08-30,Female,80,6
2021-08-30,Male,83,13
2021-08-30,Total,163,19
2021-08-31,Female,91,6
2021-08-31,Male,90,13
2021-08-31,Total,181,19
2021-09-01,Female,93,6
2021-09-01,Male,93,13
2021-09-01,Total,186,19
2021-09-02,Female,100,6
2021-09-02,Male,95,13
2021-09-02,Total,195,19
2021-09-03,Female,102,6
2021-09-03,Male,96,13
2021-09-03,Total,198,19
2021-09-04,Female,104,6
2021-09-04,Male,104,13
2021-09-04,Total,208,19
2021-09-05,Female,107,6
2021-09-05,Male,107,13
2021-09-05,Total,214,19
2021-09-06,Female,107,6
2021-09-06,Male,107,13
2021-09-06,Total,214,19
2021-09-07,Female,111,6
2021-09-07,Male,108,13
2021-09-07,Total,219,19
2021-09-08,Female,114,6
2021-09-08,Male,110,13
2021-09-08,Total,224,19
2021-09-09,Female,114,6
2021-09-09,Male,111,13
2021-09-09,Total,225,19
2021-09-10,Female,116,6
2021-09-10,Male,111,13
2021-09-10,Total,227,19
2021-09-11,Female,117,6
2021-09-11,Male,111,13
2021-09-11,Total,228,19
2021-09-13,Female,122,6
2021-09-13,Male,112,13
2021-09-13,Total,234,19
2021-09-14,Female,123,6
2021-09-14,Male,113,13
2021-09-14,Total,236,19
2021-09-17,Female,124,6
2021-09-17,Male,117,13
2021-09-17,Total,241,19
2021-09-18,Female,124,6
2021-09-18,Male,118,13
2021-09-18,Total,242,19
2021-09-19,Female,124,6
2021-09-19,Male,118,13
2021-09-19,Total,242,19
2021-09-21,Female,125,6
2021-09-21,Male,119,13
2021-09-21,Total,245,19
2021-09-22,Female,125,6
2021-09-22,Male,119,13
2021-09-22,Total,245,19
2021-09-23,Female,126,6
2021-09-23,Male,119,13
2021-09-23,Total,246,19
2021-09-24,Female,126,6
2021-09-24,Male,119,13
2021-09-24,Total,246,19
2021-09-25,Female,126,6
2021-09-25,Male,120,13
2021-09-25,Total,247,19
2021-09-26,Female,126,6
2021-09-26,Male,120,13
2021-09-26,Total,247,19
2021-09-27,Female,128,6
2021-09-27,Male,122,13
2021-09-27,Total,251,19
2021-09-28,Female,130,6
2021-09-28,Male,123,13
2021-09-28,Total,254,19
2021-09-29,Female,133,6
2021-09-29,Male,125,13
2021-09-29,Total,258,19
2021-09-30,Female,135,6
2021-09-30,Male,125,13
2021-09-30,Total,260,19
2021-10-01,Female,136,6
2021-10-01,Male,126,13
2021-10-01,Total,262,19
2021-10-02,Female,140,6
2021-10-02,Male,130,13
2021-10-02,Total,270,19
2021-10-03,Female,141,6
2021-10-03,Male,130,13
2021-10-03,Total,271,19
2021-10-04,Female,142,6
2021-10-04,Male,133,13
2021-10-04,Total,275,19
2021-10-05,Female,144,6
2021-10-05,Male,135,13
2021-10-05,Total,279,19
2021-10-06,Female,146,6
2021-10-06,Male,136,13
2021-10-06,Total,282,19
2021-10-07,Female,146,6
2021-10-07,Male,136,13
2021-10-07,Total,282,19
2021-10-08,Female,147,6
2021-10-08,Male,137,13
2021-10-08,Total,284,19
2021-10-09,Female,148,6
2021-10-09,Male,138,13
2021-10-09,Total,286,19
2021-10-10,Female,152,6
2021-10-10,Male,144,13
2021-10-10,Total,297,19
2021-10-11,Female,153,6
2021-10-11,Male,144,13
2021-10-11,Total,298,19
2021-10-12,Female,156,6
2021-10-12,Male,146,13
2021-10-12,Total,303,19
2021-10-13,Female,160,6
2021-10-13,Male,148,13
2021-10-13,Total,309,19
2021-10-14,Female,162,6
2021-10-14,Male,148,13
2021-10-14,Total,310,19
2021-10-15,Female,165,16
2021-10-15,Male,148,25
2021-10-15,Total,313,41
2021-10-16,Female,165,16
2021-10-16,Male,150,25
2021-10-16,Total,315,41
2021-10-17,Female,166,16
2021-10-17,Male,152,25
2021-10-17,Total,318,41
2021-10-18,Female,166,16
2021-10-18,Male,153,25
2021-10-18,Total,319,41
2021-10-19,Female,167,16
2021-10-19,Male,154,25
2021-10-19,Total,321,41
2021-10-20,Female,172,16
2021-10-20,Male,156,25
2021-10-20,Total,328,41
2021-10-21,Female,175,16
2021-10-21,Male,161,25
2021-10-21,Total,336,41
2021-10-22,Female,179,16
2021-10-22,Male,168,25
2021-10-22,Total,347,41
2021-10-23,Female,180,16
2021-10-23,Male,171,25
2021-10-23,Total,351,41
2021-10-25,Female,186,16
2021-10-25,Male,178,25
2021-10-25,Total,364,41
2021-10-26,Female,186,16
2021-10-26,Male,178,25
2021-10-26,Total,364,41
2021-10-27,Female,190,16
2021-10-27,Male,181,25
2021-10-27,Total,371,41
2021-10-28,Female,190,16
2021-10-28,Male,186,25
2021-10-28,Total,376,41
2021-10-29,Female,191,16
2021-10-29,Male,190,25
2021-10-29,Total,381,41
2021-10-30,Female,192,16
2021-10-30,Male,195,25
2021-10-30,Total,387,41
2021-10-31,Female,198,16
2021-10-31,Male,197,25
2021-10-31,Total,395,41
2021-11-01,Female,201,16
2021-11-01,Male,199,25
2021-11-01,Total,400,41
2021-11-02,Female,203,16
2021-11-02,Male,200,25
2021-11-02,Total,403,41
2021-11-03,Female,206,16
2021-11-03,Male,206,25
2021-11-03,Total,412,41
2021-11-05,Female,211,16
2021-11-05,Male,214,25
2021-11-05,Total,425,41
2021-11-11,Female,225,16
2021-11-11,Male,230,27
2021-11-11,Total,455,43
2021-11-15,Female,237,16
2021-11-15,Male,241,27
2021-11-15,Total,479,43
2021-11-17,Female,248,16
2021-11-17,Male,249,27
2021-11-17,Total,498,43
2021-11-18,Female,251,16
2021-11-18,Male,252,27
2021-11-18,Total,504,43
2021-11-20,Female,256,16
2021-11-20,Male,256,27
2021-11-20,Total,512,43
2021-11-21,Female,259,16
2021-11-21,Male,259,27
2021-11-21,Total,518,43
2021-11-22,Female,262,16
2021-11-22,Male,265,28
2021-11-22,Total,527,44
2021-11-23,Female,265,16
2021-11-23,Male,269,29
2021-11-23,Total,534,45
2021-11-24,Female,271,16
2021-11-24,Male,270,29
2021-11-24,Total,541,45
2021-11-25,Female,276,16
2021-11-25,Male,272,30
2021-11-25,Total,548,46
2021-11-26,Female,280,16
2021-11-26,Male,277,31
2021-11-26,Total,557,47
2021-11-27,Female,281,16
2021-11-27,Male,279,33
2021-11-27,Total,560,49
2021-11-28,Female,285,16
2021-11-28,Male,285,34
2021-11-28,Total,570,50
2021-11-29,Female,291,16
2021-11-29,Male,291,34
2021-11-29,Total,582,50
2021-11-30,Female,293,16
2021-11-30,Male,292,34
2021-11-30,Total,585,50
2021-12-01,Female,294,16
2021-12-01,Male,294,34
2021-12-01,Total,588,50
2021-12-02,Female,296,16
2021-12-02,Male,301,34
2021-12-02,Total,597,50
2021-12-03,Female,296,16
2021-12-03,Male,304,34
2021-12-03,Total,600,50
2021-12-04,Female,296,16
2021-12-04,Male,305,35
2021-12-04,Total,601,51
2021-12-05,Female,299,16
2021-12-05,Male,306,35
2021-12-05,Total,605,51
2021-12-06,Female,302,16
2021-12-06,Male,313,35
2021-12-06,Total,615,51
2021-12-07,Female,306,16
2021-12-07,Male,316,35
2021-12-07,Total,622,51
2021-12-08,Female,309,16
2021-12-08,Male,318,35
2021-12-08,Total,627,51
2021-12-09,Female,310,16
2021-12-09,Male,319,35
2021-12-09,Total,629,51
2021-12-10,Female,311,16
2021-12-10,Male,319,35
2021-12-10,Total,630,51
2021-12-11,Female,312,16
2021-12-11,Male,319,36
2021-12-11,Total,631,52
2021-12-12,Female,313,16
2021-12-12,Male,319,36
2021-12-12,Total,632,52
2021-12-13,Female,314,16
2021-12-13,Male,321,36
2021-12-13,Total,635,52
2021-12-14,Female,316,16
2021-12-14,Male,322,37
2021-12-14,Total,638,53
2021-12-15,Female,322,16
2021-12-15,Male,326,38
2021-12-15,Total,648,54
2021-12-16,Female,323,16
2021-12-16,Male,333,38
2021-12-16,Total,656,54
2021-12-17,Female,325,16
2021-12-17,Male,334,38
2021-12-17,Total,659,54
2021-12-18,Female,325,16
2021-12-18,Male,335,38
2021-12-18,Total,660,54
2021-12-18,Female,326,16
2021-12-18,Male,335,38
2021-12-18,Total,661,54
2021-12-19,Female,326,16
2021-12-19,Male,335,38
2021-12-19,Total,661,54
2021-12-19,Female,327,16
2021-12-19,Male,338,38
2021-12-19,Total,665,54
2021-12-20,Female,330,16
2021-12-20,Male,342,38
2021-12-20,Total,672,54
2021-12-21,Female,333,16
2021-12-21,Male,342,38
2021-12-21,Total,675,54
2021-12-22,Female,337,17
2021-12-22,Male,346,38
2021-12-22,Total,683,55
2021-12-23,Female,340,17
2021-12-23,Male,345,38
2021-12-23,Total,685,55
2021-12-25,Female,346,18
2021-12-25,Male,349,39
2021-12-25,Total,695,57
2021-12-26,Female,349,18
2021-12-26,Male,351,39
2021-12-26,Total,700,57
2021-12-27,Female,349,18
2021-12-27,Male,351,39
2021-12-27,Total,700,57
2021-12-28,Female,350,18
2021-12-28,Male,351,39
2021-12-28,Total,701,57
2021-12-29,Female,352,18
2021-12-29,Male,353,39
2021-12-29,Total,705,57
2021-12-30,Female,355,18
2021-12-30,Male,355,39
2021-12-30,Total,710,57
2022-01-01,Female,357,18
2022-01-01,Male,357,39
2022-01-01,Total,714,57
2022-01-02,Female,359,18
2022-01-02,Male,357,39
2022-01-02,Total,716,57
2022-01-03,Female,360,18
2022-01-03,Male,359,39
2022-01-03,Total,719,57
2022-01-04,Female,360,19
2022-01-04,Male,361,39
2022-01-04,Total,721,58
2022-01-05,Female,360,19
2022-01-05,Male,363,39
2022-01-05,Total,723,58
2022-01-06,Female,362,19
2022-01-06,Male,367,39
2022-01-06,Total,729,58
2022-01-08,Female,362,19
2022-01-08,Male,367,39
2022-01-08,Total,729,58
2022-01-09,Female,362,19
2022-01-09,Male,368,39
2022-01-09,Total,730,58
2022-01-10,Female,364,19
2022-01-10,Male,368,39
2022-01-10,Total,732,58
2022-01-11,Female,366,22
2022-01-11,Male,370,41
2022-01-11,Total,736,63
2022-01-12,Female,366,22
2022-01-12,Male,370,41
2022-01-12,Total,736,63
2022-01-13,Female,368,22
2022-01-13,Male,372,41
2022-01-13,Total,740,63
2022-01-14,Female,368,22
2022-01-14,Male,373,41
2022-01-14,Total,741,63
2022-01-15,Female,367,22
2022-01-15,Male,374,41
2022-01-15,Total,741,63
2022-01-16,Female,367,22
2022-01-16,Male,375,41
2022-01-16,Total,742,63
2022-01-17,Female,368,22
2022-01-17,Male,378,41
2022-01-17,Total,746,63
2022-01-18,Female,368,22
2022-01-18,Male,380,41
2022-01-18,Total,748,63
2022-01-19,Female,371,24
2022-01-19,Male,382,42
2022-01-19,Total,753,66
2022-01-20,Female,371,24
2022-01-20,Male,382,42
2022-01-20,Total,753,66
2022-01-21,Female,372,24
2022-01-21,Male,383,42
2022-01-21,Total,755,66
2022-01-22,Female,372,24
2022-01-22,Male,383,42
2022-01-22,Total,755,66
2022-01-23,Female,372,24
2022-01-23,Male,383,42
2022-01-23,Total,755,66
2022-01-24,Female,375,24
2022-01-24,Male,383,42
2022-01-24,Total,758,66
2022-01-25,Female,375,24
2022-01-25,Male,385,42
2022-01-25,Total,760,66
2022-01-26,Female,375,24
2022-01-26,Male,385,42
2022-01-26,Total,760,66
2022-01-27,Female,374,24
2022-01-27,Male,385,42
2022-01-27,Total,759,66
2022-01-28,Female,376,24
2022-01-28,Male,385,42
2022-01-28,Total,761,66
2022-01-29,Female,376,24
2022-01-29,Male,385,42
2022-01-29,Total,761,66
2022-01-30,Female,376,24
2022-01-30,Male,386,42
2022-01-30,Total,762,66
2022-01-31,Female,378,24
2022-01-31,Male,386,42
2022-01-31,Total,764,66
2022-02-01,Female,378,24
2022-02-01,Male,386,42
2022-02-01,Total,764,66
2022-02-02,Female,381,24
2022-02-02,Male,386,42
2022-02-02,Total,767,66
2022-02-03,Female,381,24
2022-02-03,Male,387,42
2022-02-03,Total,768,66
2022-02-04,Female,382,24
2022-02-04,Male,389,42
2022-02-04,Total,771,66
2022-02-05,Female,385,24
2022-02-05,Male,389,43
2022-02-05,Total,774,67
2022-02-06,Female,386,25
2022-02-06,Male,390,43
2022-02-06,Total,776,68
2022-02-07,Female,387,25
2022-02-07,Male,390,43
2022-02-07,Total,777,68
2022-02-08,Female,388,25
2022-02-08,Male,391,43
2022-02-08,Total,779,68
2022-02-09,Female,391,25
2022-02-09,Male,392,43
2022-02-09,Total,783,68
2022-02-10,Female,394,25
2022-02-10,Male,394,43
2022-02-10,Total,788,68
2022-02-11,Female,396,25
2022-02-11,Male,396,43
2022-02-11,Total,792,68
2022-02-13,Female,405,25
2022-02-13,Male,399,43
2022-02-13,Total,804,68
2022-02-14,Female,406,25
2022-02-14,Male,401,43
2022-02-14,Total,807,68
2022-02-15,Female,409,25
2022-02-15,Male,402,43
2022-02-15,Total,811,68
2022-02-16,Female,412,25
2022-02-16,Male,403,43
2022-02-16,Total,815,68
2022-02-17,Female,417,25
2022-02-17,Male,409,43
2022-02-17,Total,826,68
2022-02-18,Female,417,25
2022-02-18,Male,409,43
2022-02-18,Total,826,68
2022-02-19,Female,421,26
2022-02-19,Male,415,43
2022-02-19,Total,836,69
2022-02-20,Female,425,26
2022-02-20,Male,416,43
2022-02-20,Total,841,69
2022-02-21,Female,435,26
2022-02-21,Male,423,43
2022-02-21,Total,858,69
2022-02-22,Female,579,26
2022-02-22,Male,519,43
2022-02-22,Total,1098,69
2022-02-23,Female,611,26
2022-02-23,Male,541,43
2022-02-23,Total,1152,69
2022-02-24,Female,646,26
2022-02-24,Male,571,43
2022-02-24,Total,1217,69
2022-02-25,Female,665,26
2022-02-25,Male,583,43
2022-02-25,Total,1248,69
2022-02-26,Female,697,26
2022-02-26,Male,604,43
2022-02-26,Total,1302,69
2022-02-27,Female,730,27
2022-02-27,Male,633,43
2022-02-27,Total,1364,70
2022-02-28,Female,761,27
2022-02-28,Male,656,43
2022-02-28,Total,1418,70
2022-03-01,Female,792,27
2022-03-01,Male,673,43
2022-03-01,Total,1466,70
2022-03-02,Female,855,27
2022-03-02,Male,716,43
2022-03-02,Total,1572,70
2022-03-03,Female,902,27
2022-03-03,Male,768,43
2022-03-03,Total,1671,70
2022-03-04,Female,966,27
2022-03-04,Male,816,43
2022-03-04,Total,1783,70
2022-03-05,Female,1021,27
2022-03-05,Male,850,43
2022-03-05,Total,1872,70
2022-03-06,Female,1069,27
2022-03-06,Male,890,44
2022-03-06,Total,1960,71
2022-03-07,Female,1121,27
2022-03-07,Male,916,44
2022-03-07,Total,2038,71
2022-03-08,Female,1194,27
2022-03-08,Male,965,44
2022-03-08,Total,2160,71
2022-03-10,Female,1345,27
2022-03-10,Male,1081,45
2022-03-10,Total,2427,72
2022-03-11,Female,1444,28
2022-03-11,Male,1144,46
2022-03-11,Total,2589,74
2022-03-12,Female,1511,29
2022-03-12,Male,1195,46
2022-03-12,Total,2707,75
2022-03-13,Female,1536,30
2022-03-13,Male,1220,46
2022-03-13,Total,2757,76
2022-03-14,Female,1619,30
2022-03-14,Male,1284,48
2022-03-14,Unknown,1,0
2022-03-14,Total,2904,78
2022-03-16,Female,1781,31
2022-03-16,Male,1411,49
2022-03-16,Total,3194,80
2022-03-17,Female,1830,31
2022-03-17,Male,1452,49
2022-03-17,Total,3284,80
2022-03-18,Female,1932,35
2022-03-18,Male,1536,50
2022-03-18,Total,3471,85
2022-03-19,Female,1990,35
2022-03-19,Male,1582,49
2022-03-19,Total,3575,84
2022-03-20,Female,2029,36
2022-03-20,Male,1623,54
2022-03-20,Total,3655,90
2022-03-21,Female,2099,36
2022-03-21,Male,1711,54
2022-03-21,Total,3813,90
2022-03-22,Female,2201,37
2022-03-22,Male,1791,54
2022-03-22,Total,3995,91
2022-03-23,Female,2319,38
2022-03-23,Male,1879,55
2022-03-23,Total,4201,93
2022-03-24,Female,2429,38
2022-03-24,Male,1955,59
2022-03-24,Total,4387,97
2022-03-25,Female,2522,38
2022-03-25,Male,2008,60
2022-03-25,Total,4533,98
2022-03-26,Female,2565,38
2022-03-26,Male,2045,60
2022-03-26,Total,4613,98
2022-03-27,Female,2620,38
2022-03-27,Male,2091,61
2022-03-27,Total,4714,99
2022-03-28,Female,2685,41
2022-03-28,Male,2138,61
2022-03-28,Total,4826,102
2022-03-29,Female,2757,41
2022-03-29,Male,2193,66
2022-03-29,Total,4953,107
2022-03-30,Female,2840,42
2022-03-30,Male,2255,68
2022-03-30,Total,5098,110
2022-03-31,Female,2900,44
2022-03-31,Male,2309,71
2022-03-31,Total,5212,115
2022-04-02,Female,3043,45
2022-04-02,Male,2409,75
2022-04-02,Total,5455,120
2022-04-03,Female,3085,45
2022-04-03,Male,2431,77
2022-04-03,Total,5519,122
2022-04-04,Female,3130,45
2022-04-04,Male,2450,77
2022-04-04,Total,5583,122
2022-04-05,Female,3222,48
2022-04-05,Male,2529,78
2022-04-05,Total,5754,126
2022-04-06,Female,3317,48
2022-04-06,Male,2620,80
2022-04-06,Total,5940,128
